id,accuracy,label,fold,y_pred
,,,,
C1104,0.21,0,0,1
,,,,
C1066,0.32,1,0,0
,,,,
C2046,0.44,0,0,1
,,,,
C1113,0.44,1,1,0
,,,,
C1017,0.65,0,1,0
,,,,
C1224,0.38,0,1,1
,,,,
C1230,0.51,1,2,0
,,,,
C1124,0.29,0,2,1
,,,,
C1039,0.19,0,2,1
,,,,
C1218,0.61,1,3,0
,,,,
C1112,0.39,0,3,1
,,,,
C1034,0.5,0,3,0
,,,,
C1106,0.67,1,4,1
,,,,
C1103,0.4,1,4,0
,,,,
C1033,0.49,0,4,0
,,,,
C1028,0.75,1,5,1
,,,,
C1159,0.36,1,5,0
,,,,
C1202,0.49,0,5,1
,,,,
C1046,0.63,0,6,0
,,,,
C1122,0.37,1,6,0
,,,,
C1234,0.36,1,6,0
,,,,
C1146,0.48,0,7,0
,,,,
C1079,0.28,1,7,0
,,,,
C2040,0.54,1,7,1
,,,,
C1156,0.47,0,8,1
,,,,
C1225,0.36,1,8,0
,,,,
C1052,0.48,1,8,0
,,,,
C1032,0.49,0,9,1
,,,,
C1133,0.57,1,9,1
,,,,
C1054,0.4,1,9,0
