id,accuracy,label,fold,y_pred
,,,,
C1104,0.45,0,0,1
,,,,
C1066,0.61,1,0,0
,,,,
C2046,0.45,0,0,1
,,,,
C1113,0.66,1,1,1
,,,,
C1017,0.38,0,1,1
,,,,
C1224,0.41,0,1,1
,,,,
C1230,0.7,1,2,1
,,,,
C1124,0.38,0,2,1
,,,,
C1039,0.35,0,2,1
,,,,
C1218,0.58,1,3,0
,,,,
C1112,0.45,0,3,1
,,,,
C1034,0.54,0,3,0
,,,,
C1106,0.43,1,4,0
,,,,
C1103,0.52,1,4,1
,,,,
C1033,0.4,0,4,1
,,,,
C1028,0.46,1,5,0
,,,,
C1159,0.6,1,5,1
,,,,
C1202,0.31,0,5,1
,,,,
C1046,0.39,0,6,1
,,,,
C1122,0.27,1,6,0
,,,,
C1234,0.4,1,6,0
,,,,
C1146,0.42,0,7,1
,,,,
C1079,0.44,1,7,0
,,,,
C2040,0.27,1,7,0
,,,,
C1156,0.36,0,8,1
,,,,
C1225,0.61,1,8,1
,,,,
C1052,0.57,1,8,0
,,,,
C1032,0.43,0,9,1
,,,,
C1133,0.47,1,9,0
,,,,
C1054,0.53,1,9,0
