id,accuracy,label,fold,y_pred
,,,,
C1104,0.83,0,0,0
,,,,
C1066,0.7,1,0,1
,,,,
C2046,0.44,0,0,1
,,,,
C1113,0.83,1,1,1
,,,,
C1017,0.84,0,1,0
,,,,
C1224,0.17,0,1,1
,,,,
C1230,0.38,1,2,0
,,,,
C1124,0.23,0,2,1
,,,,
C1039,0.18,0,2,1
,,,,
C1218,0.61,1,3,1
,,,,
C1112,1,0,3,0
,,,,
C1034,0.69,0,3,0
,,,,
C1106,0.13,1,4,0
,,,,
C1103,0.61,1,4,1
,,,,
C1033,0.4,0,4,0
,,,,
C1028,0.75,1,5,1
,,,,
C1159,0.49,1,5,1
,,,,
C1202,0.09,0,5,1
,,,,
C1046,0.71,0,6,0
,,,,
C1122,0.26,1,6,0
,,,,
C1234,0.31,1,6,0
,,,,
C1146,0.52,0,7,1
,,,,
C1079,0.57,1,7,1
,,,,
C2040,0.54,1,7,1
,,,,
C1156,0.49,0,8,0
,,,,
C1225,0.88,1,8,1
,,,,
C1052,0.66,1,8,0
,,,,
C1032,0.61,0,9,1
,,,,
C1133,0.75,1,9,1
,,,,
C1054,0.8,1,9,1
